Id	kgroup	size	cpdcount	as_count	Degree
CDK8	CMGC	152	301	129	202
CLK2	CMGC	322	322	268	306
CDK7	CMGC	300	309	231	324
RSK2	AGC	304	454	256	309
PRKX	AGC	205	207	167	181
LIMK1	TKL	211	316	187	275
CDK5	CMGC	460	929	377	269
ALK2	TKL	174	190	146	274
RON	TK	138	149	132	279
FAK	TK	749	1214	496	270
ACK	TK	130	356	114	288
Map4k2	STE	296	306	250	326
AMPKa1	CAMK	198	226	178	327
DYRK1A	CMGC	532	578	416	305
TRKC	TK	242	244	221	314
TRKB	TK	299	304	224	312
LRRK2	TKL	408	1476	298	314
AurB	Other	1608	1785	1121	343
CLK4	CMGC	608	693	504	334
ALK	TK	549	1321	396	312
DYRK1B	CMGC	270	284	220	236
PKCi	AGC	23	338	20	97
p38b	CMGC	114	115	89	95
CK2a2	CMGC	167	168	97	265
FRK	TK	1222	1222	809	339
STK33	CAMK	32	65	30	281
PKG2	AGC	83	87	79	241
PKACb	AGC	33	36	26	164
PAK1	STE	196	333	150	233
FRAP	Atypical	1718	3467	721	17
ATR	Atypical	37	124	32	5
eEF2K	Atypical	5	27	5	0
ATM	Atypical	40	348	29	3
CHK1	CAMK	365	1801	265	291
DYRK3	CMGC	121	127	110	148
MSK1	AGC	136	169	122	293
CHK2	CAMK	199	607	184	298
TRKA	TK	411	1503	308	330
ROS	TK	174	205	159	292
FLT4	TK	447	522	367	325
MAPKAPK2	CAMK	104	563	87	151
BLK	TK	283	284	245	330
IRAK1	TKL	161	161	142	321
NEK4	Other	75	75	74	163
PLK1	Other	164	479	129	219
TYRO3	TK	212	270	170	248
CaMK2g	CAMK	87	87	83	292
CaMK2d	CAMK	115	182	98	296
MELK	CAMK	191	892	165	329
MAPKAPK3	CAMK	14	14	14	21
TAO1	STE	192	210	172	324
MAPKAPK5	CAMK	45	57	37	166
HIPK4	CMGC	185	185	167	305
BRSK1	CAMK	68	68	62	239
PBK	Other	29	86	27	88
SRPK1	CMGC	57	84	53	288
PKD2	CAMK	195	195	171	316
HIPK2	CMGC	238	240	189	316
PLK3	Other	155	157	117	159
MNK2	CAMK	267	720	223	289
SGK2	AGC	105	105	96	162
ZAK	TKL	81	81	79	235
CK1g3	CK1	75	77	66	179
CDK4	CMGC	764	1415	436	234
KIT	TK	815	1389	575	344
JAK3	TK	2126	2171	1258	332
HCK	TK	317	317	218	317
LATS1	AGC	24	24	23	246
YES	TK	292	292	233	318
LYN	TK	440	441	358	339
FGR	TK	237	237	184	311
FER	TK	154	155	144	330
FGFR2	TK	1584	1589	710	304
CSK	TK	33	34	33	183
TEC	TK	37	37	37	143
TXK	TK	46	46	43	235
ABL2	TK	66	66	66	270
BMX	TK	37	37	37	174
MAP2K5	STE	58	58	57	310
BRK	TK	101	167	86	222
SRM	TK	188	188	135	300
RIPK3	TKL	20	24	20	35
BMPR1B	TKL	55	55	49	246
CRIK	AGC	28	28	28	255
MAP2K7	STE	9	27	9	27
EphB6	TK	91	91	86	306
TAK1	TKL	52	171	45	297
DRAK2	CAMK	33	40	22	224
PDGFRa	TK	394	520	316	321
EphA1	TK	36	36	36	258
ErbB3	TK	13	15	13	69
EphA2	TK	437	448	242	321
EphA3	TK	24	24	24	207
EphA8	TK	76	76	71	288
EphB2	TK	85	85	80	298
AXL	TK	309	331	244	323
Erk4	CMGC	0	0	0	0
TIE1	TK	28	28	28	262
TGFbR1	TKL	146	723	115	154
TGFbR2	TKL	33	65	28	134
CK1e	CK1	358	358	167	239
EphA5	TK	86	86	81	299
EphB4	TK	298	430	143	190
EphB1	TK	20	20	20	211
EphA4	TK	86	86	81	299
HUNK	CAMK	8	8	8	190
CK1g2	CK1	123	123	109	242
DDR1	TK	151	461	111	294
DMPK1	AGC	16	16	16	195
EphA7	TK	21	21	21	227
TESK1	TKL	11	11	11	144
Erk3	CMGC	4	5	4	0
MAP3K8	STE	51	51	50	316
HH498	TKL	67	115	38	162
ULK3	Other	35	35	34	296
MINK	STE	196	196	161	317
ADCK3	Atypical	7	7	7	1
CLIK1	Other	19	19	19	263
DYRK2	CMGC	44	67	41	200
ADCK4	Atypical	5	5	5	15
MAP3K3	STE	29	30	28	273
RIOK1	Atypical	50	50	36	250
MNK1	CAMK	101	120	75	150
QIK	CAMK	66	71	64	335
Fused	Other	17	17	17	143
BIKE	Other	50	50	49	293
IRAK4	TKL	191	1340	155	305
DRAK1	CAMK	232	236	190	298
EphA6	TK	75	75	70	286
AurC	Other	83	87	74	292
QSK	CAMK	22	22	21	151
MAP3K2	STE	33	33	32	303
KHS1	STE	279	280	240	344
IRAK3	TKL	37	37	37	296
MAP3K4	STE	9	9	9	70
TTK	Other	104	962	86	282
PYK2	TK	138	182	124	330
IRE1	Other	20	229	16	108
DNAPK	Atypical	50	341	38	10
CDK9	CMGC	450	1106	342	228
IKKe	Other	296	309	216	306
TBK1	Other	326	454	242	330
FGFR4	TK	1150	1154	412	271
FGFR3	TK	1408	1417	567	322
CaMK2b	CAMK	34	34	32	182
CaMK1a	CAMK	24	24	23	210
MARK2	CAMK	131	132	116	308
MER	TK	155	188	107	287
PDK1	AGC	214	750	158	278
INSR	TK	446	521	310	280
DAPK1	CAMK	23	26	20	235
DAPK2	CAMK	20	20	17	230
PAK2	STE	31	32	30	150
IKKa	Other	151	166	93	251
MST2	STE	246	247	199	313
MRCKa	AGC	97	99	87	162
PLK4	Other	280	333	252	340
BARK2	AGC	25	25	16	2
GPRK5	AGC	64	73	54	124
p38d	CMGC	85	121	75	210
p38g	CMGC	123	123	92	235
PKD1	CAMK	63	115	50	197
TIE2	TK	414	513	267	245
Erk1	CMGC	65	205	41	6
ZAP70	TK	51	120	43	111
MAP3K5	STE	9	107	9	49
DLK	TKL	19	589	19	208
NIK	STE	4	459	4	0
LIMK2	TKL	69	195	50	66
PDHK1	Atypical	19	463	16	8
PKD3	CAMK	233	233	202	309
CK1g1	CK1	117	120	104	209
RSK1	AGC	83	250	54	254
FES	TK	81	81	78	304
PKN2	AGC	208	208	177	256
DCLK1	CAMK	22	22	21	223
TSSK2	CAMK	32	32	31	148
TSSK1	CAMK	61	61	58	252
CLK1	CMGC	163	233	138	319
TNK1	TK	45	45	45	296
Wee1	Other	139	272	63	131
CDK3	CMGC	26	26	26	141
ULK1	Other	25	27	22	252
MSK2	AGC	48	48	45	297
MPSK1	Other	35	36	34	277
MAP3K6	STE	5	5	5	1
PHKg2	CAMK	81	81	78	321
CTK	TK	34	34	33	142
CDK6	CMGC	276	277	112	36
MST1	STE	33	33	31	273
PKN1	AGC	37	38	36	276
MLK3	TKL	61	68	55	276
AAK1	Other	48	48	46	302
caMLCK	CAMK	24	24	23	248
CaMK1d	CAMK	46	47	45	262
KHS2	STE	36	37	35	292
MARK4	CAMK	33	34	32	253
CaMKK2	Other	31	31	30	288
NuaK2	CAMK	32	33	31	289
TAO3	STE	70	76	61	282
RSK4	AGC	33	33	33	273
TAO2	STE	19	19	19	249
CaMK2a	CAMK	36	38	35	251
MST3	STE	24	25	22	213
ILK	TKL	2	111	2	0
CLK3	CMGC	25	25	24	78
PKG1	AGC	124	124	110	217
PASK	CAMK	18	18	18	58
HIPK1	CMGC	21	22	20	250
HIPK3	CMGC	21	21	20	261
DYRK4	CMGC	34	34	32	115
ALK1	TKL	87	135	61	78
COT	STE	13	193	13	1
PLK2	Other	48	78	41	127
EphB3	TK	12	28	12	69
BMPR1A	TKL	46	46	40	115
PKACg	AGC	30	30	23	160
smMLCK	CAMK	30	46	29	270
GPRK6	AGC	2	9	2	0
NEK1	Other	10	188	10	3
SGK1	AGC	13	90	13	7
RIPK1	TKL	18	65	18	157
ALK4	TKL	44	44	43	190
MAP2K6	STE	8	8	8	85
PCTAIRE1	CMGC	36	36	35	285
DDR2	TK	126	138	95	249
Erk7	CMGC	29	29	29	262
PRPK	Other	4	4	4	0
NLK	CMGC	43	43	40	196
DMPK2	AGC	12	12	12	67
ACTR2	TKL	4	4	4	0
AMPKa2	CAMK	35	37	27	241
ACTR2B	TKL	11	11	11	55
CaMK4	CAMK	10	10	10	69
CaMKK1	Other	18	18	17	275
NEK9	Other	13	13	13	169
HPK1	STE	43	43	42	301
MYT1	Other	5	5	5	11
HRI	Other	14	56	13	33
RIOK2	Atypical	43	43	33	169
GCN2	Other	32	33	27	247
PCTAIRE2	CMGC	29	29	29	265
TESK2	TKL	6	6	6	1
MUSK	TK	22	22	21	256
CASK	CAMK	9	9	9	84
PAK3	STE	25	25	23	243
CDKL5	CMGC	9	9	9	44
PFTAIRE1	CMGC	14	14	14	224
MAK	CMGC	6	6	6	17
PITSLRE	CMGC	12	12	12	70
PCTAIRE3	CMGC	11	11	11	100
Erk5	CMGC	24	43	23	100
CHED	CMGC	13	13	13	126
PHKg1	CAMK	24	24	23	267
STLK5	STE	2	2	2	0
SgK085	CAMK	17	17	16	236
CDKL3	CMGC	5	5	5	28
BRSK2	CAMK	8	8	8	66
DCLK2	CAMK	9	9	9	42
CDKL2	CMGC	14	14	14	179
PFTAIRE2	CMGC	10	10	10	72
CDK11	CMGC	32	32	32	176
DCLK3	CAMK	14	14	13	225
skMLCK	CAMK	17	17	16	208
CRK7	CMGC	6	6	6	9
ICK	CMGC	21	21	21	129
CDK11a	CMGC	12	12	12	74
MAST1	AGC	9	9	8	174
ARAF	TKL	6	6	6	2
MLK1	TKL	56	58	53	245
NEK3	Other	8	8	8	25
ADCK1	Atypical	9	9	9	38
MST4	STE	21	21	20	226
MRCKb	AGC	13	14	12	90
PEK	Other	32	111	26	6
SIK	CAMK	23	23	23	264
Wnk3	Other	2	2	2	0
MLK2	TKL	29	29	29	199
YSK1	STE	10	10	9	165
RIOK3	Atypical	14	14	14	230
LZK	TKL	21	21	20	262
NuaK1	CAMK	29	30	28	249
OSR1	STE	3	3	3	0
SgK110	Other	8	8	8	156
IRR	TK	12	12	12	183
GPRK4	AGC	16	16	15	244
MAP2K4	STE	20	20	20	262
MAP2K3	STE	14	17	14	205
ANKRD3	TKL	13	13	13	216
PRP4	CMGC	8	9	8	178
BMPR2	TKL	20	20	18	175
NDR1	AGC	9	9	8	184
RHOK	AGC	16	16	16	236
SBK	Other	11	11	10	225
SgK496	Other	14	14	14	220
MAP3K7	STE	3	3	3	0
YANK3	AGC	2	2	2	0
NIM1	CAMK	5	5	5	11
ULK2	Other	22	22	19	255
CK1a2	CK1	3	3	3	0
MYO3A	STE	6	6	6	119
SgK288	TKL	13	13	12	223
NEK7	Other	5	5	5	19
GPRK7	AGC	18	18	17	222
YANK1	AGC	4	4	4	0
MYO3B	STE	6	6	6	110
CaMK1g	CAMK	10	10	9	189
NEK6	Other	9	9	9	62
PAK6	STE	11	11	11	76
SNRK	CAMK	4	4	4	0
LATS2	AGC	11	11	10	200
YANK2	AGC	3	3	3	0
MARK1	CAMK	14	14	13	203
PAK5	STE	17	17	17	241
STLK3	STE	8	8	7	170
MSSK1	CMGC	13	13	12	233
NDR2	AGC	5	5	5	36
Haspin	Other	5	22	5	0
LKB1	CAMK	15	15	14	210
PKR	Other	18	26	17	122
PKN3	AGC	3	3	3	0
p70S6Kb	AGC	2	6	2	0
MAST3	AGC	4	4	1	0
NEK5	Other	4	4	4	0
NEK11	Other	4	4	4	0
Wee1B	Other	3	3	3	0
CDKL1	CMGC	4	4	4	0
TLK2	Other	7	7	6	143
TLK1	Other	8	8	7	156
SRPK2	CMGC	13	13	12	213
SGK3	AGC	9	9	8	187
MASTL	AGC	0	0	0	0
IRE2	Other	2	2	2	0
ANPa	RGC	0	12	0	0
SMG1	Atypical	14	19	9	3
MLKL	TKL	1	2	1	0
VRK2	CK1	2	2	2	0
Wnk2	Other	0	0	0	0
TTBK1	CK1	1	1	1	0
PDHK3	Atypical	1	1	1	0
PDHK4	Atypical	3	4	3	0
KSR2	TKL	0	1	0	0
SgK396	Other	0	0	0	0
ChaK2	Atypical	1	1	1	0
CDK10	CMGC	1	1	1	0
TSSK3	CAMK	2	2	2	0
